Timestamp,Email address,What is your name?,Please enter your email address.,What is your age group?,What is your gender?,How frequently do you order food from Swiggy?,What type of food do you usually order?,What time of day do you usually place your order?,What is your average order value?,Rate your overall delivery experience with Swiggy?,Was the delivery on time?,How would you rate the food packaging quality?,Did you face any issues with the delivery executive?,How easy is it to navigate the Swiggy app/website?,What is your preferred payment method?,Which mode do you prefer more?
24/10/2024 17:08:19,user1@example.com,User 1,user1@example.com,55+,Prefer not to say,Weekly,Chinese Cuisine,Late Night (After 10 PM),₹200 - ₹500,2,Yes,4,Yes,1,Cash on Delivery,Cafes
24/10/2024 17:08:20,user2@example.com,User 2,user2@example.com,25-34,Male,Occasionally,Chinese Cuisine,Late Night (After 10 PM),Less than ₹200,5,Yes,4,No,5,Cash on Delivery,Cafes
24/10/2024 17:08:20,user3@example.com,User 3,user3@example.com,18-24,Female,Occasionally,Beverages,Breakfast (6 AM - 10 AM),₹200 - ₹500,2,No,2,No,1,"Wallet (e.g., Paytm, Amazon Pay)",Dine restaurant
24/10/2024 17:08:20,user4@example.com,User 4,user4@example.com,35-44,Prefer not to say,Daily,Other,Breakfast (6 AM - 10 AM),Less than ₹200,1,Yes,1,No,3,Net Banking,Dine restaurant
24/10/2024 17:08:20,user5@example.com,User 5,user5@example.com,55+,Prefer not to say,Weekly,Beverages,Breakfast (6 AM - 10 AM),₹500 - ₹1000,4,Yes,1,No,4,"UPI (e.g., Google Pay, PhonePe)",Dine restaurant
24/10/2024 17:08:21,user6@example.com,User 6,user6@example.com,45-54,Non-binary/Other,Monthly,Other,Dinner (7 PM - 10 PM),₹500 - ₹1000,5,Yes,5,Yes,4,Net Banking,Dine restaurant
24/10/2024 17:08:21,user7@example.com,User 7,user7@example.com,35-44,Male,Daily,Beverages,Breakfast (6 AM - 10 AM),More than ₹1000,4,Yes,4,Yes,3,Credit/Debit Card,Dine restaurant
24/10/2024 17:08:21,user8@example.com,User 8,user8@example.com,45-54,Female,Monthly,Chinese Cuisine,Lunch (12 PM - 3 PM),More than ₹1000,1,No,1,Yes,4,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:08:21,user9@example.com,User 9,user9@example.com,45-54,Female,Monthly,Desserts,Dinner (7 PM - 10 PM),₹500 - ₹1000,4,No,2,No,2,"UPI (e.g., Google Pay, PhonePe)",Dine restaurant
24/10/2024 17:08:23,user10@example.com,User 10,user10@example.com,45-54,Female,Weekly,Indian Cuisine,Dinner (7 PM - 10 PM),More than ₹1000,5,Yes,2,No,4,"UPI (e.g., Google Pay, PhonePe)",Dine restaurant
24/10/2024 17:08:23,user11@example.com,User 11,user11@example.com,55+,Prefer not to say,Monthly,Desserts,Dinner (7 PM - 10 PM),Less than ₹200,3,No,5,No,1,"UPI (e.g., Google Pay, PhonePe)",Dine restaurant
24/10/2024 17:08:23,user12@example.com,User 12,user12@example.com,25-34,Prefer not to say,Daily,Italian Cuisine,Dinner (7 PM - 10 PM),Less than ₹200,2,Yes,1,Yes,5,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:08:23,user13@example.com,User 13,user13@example.com,45-54,Prefer not to say,Monthly,Beverages,Dinner (7 PM - 10 PM),₹200 - ₹500,5,No,5,Yes,4,"UPI (e.g., Google Pay, PhonePe)",Dine restaurant
24/10/2024 17:08:24,user14@example.com,User 14,user14@example.com,35-44,Prefer not to say,Occasionally,Italian Cuisine,Dinner (7 PM - 10 PM),₹200 - ₹500,5,No,3,No,1,"Wallet (e.g., Paytm, Amazon Pay)",Dine restaurant
24/10/2024 17:08:24,user15@example.com,User 15,user15@example.com,55+,Male,Weekly,Desserts,Lunch (12 PM - 3 PM),More than ₹1000,1,Yes,1,Yes,1,Cash on Delivery,Dine restaurant
24/10/2024 17:08:24,user16@example.com,User 16,user16@example.com,25-34,Female,Daily,Healthy/Organic,Breakfast (6 AM - 10 AM),Less than ₹200,2,Yes,3,No,1,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:08:25,user17@example.com,User 17,user17@example.com,25-34,Prefer not to say,Occasionally,Chinese Cuisine,Dinner (7 PM - 10 PM),₹200 - ₹500,2,No,1,No,3,Net Banking,Dine restaurant
24/10/2024 17:08:25,user18@example.com,User 18,user18@example.com,55+,Prefer not to say,Occasionally,Healthy/Organic,Dinner (7 PM - 10 PM),₹200 - ₹500,1,Yes,5,Yes,1,"Wallet (e.g., Paytm, Amazon Pay)",Dine restaurant
24/10/2024 17:08:25,user19@example.com,User 19,user19@example.com,25-34,Female,Daily,Healthy/Organic,Late Night (After 10 PM),₹200 - ₹500,2,No,1,No,1,Cash on Delivery,Dine restaurant
